Container ID,Bin Type,Bin Height,Fill Status,Number of Mold,Audit Date
ML030131621,ML-7,10,F,10,8/24/2023
ML030131611,ML-7,10,F,8,8/24/2023
ML030131721,ML-7,10,F,8,8/24/2023
ML030141621,ML-7,10,F,4,8/26/2023
ML030131821,ML-7,10,P,4,8/29/2023
ML030141721,ML-7,10,P,20,8/29/2023
ML030141821,ML-7,10,P,1,8/30/2023
ML030151721,ML-8,10,P,0,8/30/2023
ML030131711,ML-7,10,P,7,8/30/2023
ML030141611,ML-7,10,P,5,8/31/2023
ML030141711,ML-7,10,P,0,8/31/2023
ML020071911,ML-7,10,P,6,9/2/2023
ML020130121,ML-7,10,P,8,9/2/2023
ML010061421,,,E,0,9/6/2023
ML030131811,ML-7,10,P,3,9/7/2023
ML030141511,,,E,7,9/8/2023
ML030141811,,,E,6,9/9/2023
ML030151511,ML-7,10,P,9,9/9/2023
ML030151611,ML-7,10,P,15,9/9/2023
ML020130221,ML-7,10,P,1,9/12/2023
ML020140121,,10,E,3,9/12/2023
ML010280411,ML-7,10,F,1,9/13/2023
ML020120121,,,E,0,9/13/2023
ML020072011,ML-7,10,P,1,9/15/2023
ML030151711,,,,5,9/15/2023
ML030151811,ML-7,10,P,6,9/19/2023
ML030151911,,10,E,9,9/20/2023
ML030152011,ML-7,10,F,3,9/22/2023
ML030141911,ML-7,10,P,11,9/23/2023
ML030131911,ML-7,10,P,9,9/23/2023
ML030132011,ML-7,10,P,14,9/27/2023
ML030132111,ML-7,10,P,7,9/27/2023
ML030142111,ML-7,10,P,17,9/28/2023
ML030241621,ML-7,10,P,25,9/29/2023
ML030152111,ML-7,10,P,8,9/30/2023
ML030142211,ML-7,10,P,2,10/4/2023
ML030161611,,10,E,6,10/4/2023
ML030161511,ML-7,10,P,15,10/4/2023
ML030171511,ML-7,10,P,10,10/5/2023
ML030181511,ML-7,10,P,16,10/6/2023
ML030191511,ML-7,10,P,15,10/7/2023
ML030191411,ML-3,10,P,16,10/7/2023
ML030181411,,10,E,18,10/7/2023
ML030171411,ML-7,10,P,11,10/10/2023
ML030161411,ML-7,10,P,20,10/10/2023
ML030151411,ML-7,10,P,21,10/25/2023
ML030141411,ML-7,10,P,13,10/25/2023
ML030131411,,10,E,7,10/26/2023
ML030131311,ML-7,10,P,14,10/27/2023
ML030141311,ML-7,10,P,30,10/28/2023
ML030151311,ML-7,10,P,20,10/28/2023
ML030161311,,,E,18,10/31/2023
ML030171311,ML-7,10,P,19,10/31/2023
ML030181311,,,E,16,10/31/2023
ML030191311,,,E,30,11/1/2023
ML030191211,,,E,17,11/2/2023
ml030181211,ML-7,10,P,28,11/3/2023
ML030171211,,,E,22,11/3/2023
ML030161211,ML-7,10,P,24,11/3/2023
ML030151211,ML-7,10,P,30,11/3/2023
ML030131211,,,E,18,11/4/2023
ML030131111,ML-7,10,F,12,11/7/2023
ML030161111,ML-7,10,P,23,11/7/2023
ML030171111,ML-7,10,P,22,11/8/2023
ML030181111,,,E,21,11/8/2023
ML030181011,,,E,35,11/8/2023
ML030171011,ML-7,10,P,50,11/9/2023
ML030161011,ML-7,10,P,21,11/10/2023
ML030151011,ML-7,10,P,28,11/10/2023
ML030120911,ML-7,10,P,0,11/10/2023
ML030150911,ML-7,10,P,16,11/11/2023
ML030160911,ML-4,10,P,21,11/15/2023
ML030170911,,,E,23,11/15/2023
ML030180911,ML-7,10,P,18,11/15/2023
ML030190911,,,E,56,11/16/2023
ML030190811,,,E,9,11/16/2023
ML030180811,,,E,22,11/17/2023
ML030170811,,,E,26,11/17/2023
ML030160811,ML-7,10,P,25,11/17/2023
ML030130811,ML-7,10,P,13,11/17/2023
ML030130711,ML-7,10,P,20,11/18/2023
ML030160711,ML-7,10,P,25,11/18/2023
ML030170711,,,E,45,11/18/2023
ML030180711,,,E,30,11/18/2023
ML030190711,ML-7,10,P,12,11/18/2023
ML030190611,,,E,18,11/20/2023
ML030180611,ML-7,10,P,36,11/20/2023
ML030170611,,,E,43,11/21/2023
ML030160611,ML-7,10,P,13,11/21/2023
ML030150611,ML-7,10,P,9,11/29/2023
ML030130611,ML-7,10,P,20,11/29/2023
ML030130511,,,E,30,11/30/2023
ML030140511,ML-7,10,F,15,12/1/2023
ML030150511,ML-7,10,P,24,12/1/2023
ML030160511,,,E,28,12/1/2023
ML030170511,ML-7,10,P,24,12/1/2023
ML030180511,,,E,18,12/1/2023
ML030191111,,,,9,12/1/2023
ML030190511,,,E,35,12/2/2023
ML030190411,ML-7,10,P,34,12/2/2023
ML030180411,ML-7,10,P,11,12/5/2023
ML030170411,ML-7,10,F,38,12/5/2023
ML030160411,,,E,32,12/5/2023
ML030150411,ML-7,10,P,24,12/6/2023
ML030140411,ML-7,10,P,12,12/6/2023
ML030130411,ML-7,10,P,12,12/8/2023
ML030140311,ML-7,10,P,12,12/8/2023
ML030150311,,,E,19,12/8/2023
ML030160311,ML-7,10,P,19,12/9/2023
ML030170311,ML-7,10,P,0,12/9/2023
ML030180311,ML-7,10,P,12,12/9/2023
ML030190311,ML-7,10,P,25,12/9/2023
ML030190211,ML-7,10,P,12,12/12/2023
ML030180211,ML-7,10,P,10,12/13/2023
ML030170211,ML-4,10,E,16,12/13/2023
ML030160211,,,E,15,12/13/2023
ML030140111,ML-3,10,P,19,12/15/2023
ML030150111,ML-7,10,F,4,12/15/2023
ML030160111,ML-7,10,F,4,12/16/2023
ML030170111,ML-7,10,F,10,12/16/2023
ML020191521,,,E,5,12/16/2023
ML030190111,ML-7,10,F,4,12/18/2023
ML010090421,ML-7,10,P,34,12/19/2023
ML010090321,ML-7,10,P,19,12/19/2023
ML020201521,ML-7,10,P,16,1/2/2024
ML020211521,ML-7,10,P,16,1/2/2024
ML010100421,,,E,34,1/3/2024
ML020221521,,,E,6,1/6/2024
ML020221421,ML-7,10,P,29,1/6/2024
ML020211421,ML-7,10,F,0,1/6/2024
ML020221321,ML-7,10,P,7,1/9/2024
ML020201421,ML-4,10,P,31,1/9/2024
ML020191421,ML-7,10,P,9,1/9/2024
ML020211321,ML-7,10,F,0,1/10/2024
ML020201321,ML-7,10,P,8,1/10/2024
ML020191321,ML-7,10,P,3,1/11/2024
ML020221621,ML-7,10,P,7,1/11/2024
ML020211621,ML-7,10,P,9,1/11/2024
ML020201621,ML-7,10,P,5,1/11/2024
ML020191621,ML-7,10,P,4,1/11/2024
ML020231321,,,E,3,1/12/2024
ML020231621,,,E,16,1/12/2024
ML020241621,ML-7,10,P,5,1/12/2024
ML020251621,ML-7,10,P,11,1/13/2024
ML020231521,ML-7,10,P,9,1/13/2024
ML020241521,ML-7,10,P,20,1/13/2024
ML030181611,ML-7,10,P,4,1/17/2024
ML030191611,ML-7,10,P,6,1/17/2024
ML030161711,,,E,11,1/17/2024
ML030171711,ML-7,10,P,5,1/17/2024
ML020241421,,,E,19,1/18/2024
ML030181711,ML-7,10,P,7,1/18/2024
ML030191711,ML-7,10,P,20,1/19/2024
ML030191811,ML-7,10,P,7,1/19/2024
ML030191811,,,E,3,1/19/2024
ML030171811,ML-7,10,P,11,1/20/2024
ML030161811,ML-7,10,P,9,1/20/2024
ML030161911,ML-7,10,P,4,1/20/2024
ML030171911,ML-7,10,P,7,1/20/2024
ML030181911,ML-7,10,P,5,1/20/2024
ML030191911,,,E,5,1/24/2024
ML030192011,,,E,8,1/24/2024
ML030182011,ML-7,10,P,9,1/25/2024
ML030172011,ML-7,10,P,2,1/25/2024
ML030162011,ML-7,10,P,3,1/25/2024
ML030192111,ML-7,10,P,15,1/26/2024
ML030182111,ML-7,10,P,4,1/26/2024
ML030172111,ML-7,10,P,4,1/26/2024
ML030162111,ML-7,10,P,6,1/26/2024
ML030192211,,,E,2,1/27/2024
ML030182211,,,E,2,1/27/2024
ML030172211,ML-7,10,P,0,1/27/2024
ML030162211,ML-7,10,P,1,1/27/2024
ML030152211,ML-7,10,P,0,1/27/2024
ML030132211,ML-7,10,P,5,1/31/2024
ML030192311,ML-4,12,F,0,2/1/2024
ML030172311,ML-4,12,P,0,2/1/2024
ML030162311,ML-7,12,P,0,2/2/2024
ML030152311,ML-4,12,F,0,2/2/2024
ML030132311,ML-4,12,P,0,2/2/2024
ML030122311,,,E,0,2/3/2024
ML030192411,ML-4,12,P,2,2/6/2024
ML030182411,ML-4,12,P,1,2/6/2024
ML030172411,ML-4,12,P,0,2/6/2024
ML030162411,ML-7,12,P,0,2/7/2024
ML030152411,ML-4,12,P,6,2/7/2024
ML030142411,ML-4,12,P,4,2/7/2024
ML030132411,ML-4,12,P,0,2/8/2024
ML030122411,ML-4,12,P,2,2/8/2024
ML020251521,ML-7,10,P,25,2/9/2024
ML020251421,ML-7,10,P,9,2/9/2024
ML020241321,ML-7,10,P,0,2/10/2024
ML020251321,ML-7,10,P,0,2/10/2024
ML020261521,ML-7,10,P,19,2/10/2024
ML020261421,,,E,18,2/13/2024
ML020281421,ML-7,10,P,18,2/13/2024
ML030122511,ML-4,12,F,6,2/14/2024
ML020261621,ML-7,10,P,13,2/15/2024
ML020271621,ML-7,10,P,10,2/16/2024
ML020281621,ML-3,10,P,4,2/16/2024
ML020281521,,,E,24,2/16/2024
ML020291521,ML-7,10,P,17,2/17/2024
ML020291421,ML-7,10,P,11,2/17/2024
ML020291621,,,E,10,2/17/2024
ML020281321,ML-7,10,F,0,2/20/2024
ML020261321,ML-7,10,P,2,2/20/2024
ML020271321,ML-7,10,F,6,2/21/2024
ml020291321,ML-7,10,P,2,2/21/2024
ML020301621,ML-7,10,P,7,2/23/2024
ML020301521,,,E,23,2/24/2024
ML020301421,ML-7,10,P,23,2/24/2024
ML020311521,ML-7,10,P,5,3/1/2024
ML020301321,ML-7,10,P,6,3/5/2024
ML020311421,ML-7,10,P,13,3/5/2024
ML030192511,ML-4,12,P,4,3/5/2024
ML030182511,,12,E,12,3/6/2024
ML030172511,ML-4,12,P,7,3/6/2024
ML020321521,ML-7,10,P,14,3/7/2024
ML010110421,,10,E,13,3/7/2024
ML020321421,ML-7,10,P,7,3/8/2024
